PWM(%),Altura(cm)
0.00,3.39
1.01,3.46
2.02,3.46
3.03,3.41
4.04,3.41
5.05,3.50
6.06,3.61
7.07,3.78
8.08,3.69
9.09,3.64
10.10,3.74
11.11,4.02
12.12,3.91
13.13,4.02
14.14,3.85
15.15,3.97
16.16,4.02
17.17,3.87
18.18,3.81
19.19,3.72
20.20,3.61
21.21,3.61
22.22,3.60
23.23,3.56
24.24,3.67
25.25,3.63
26.26,3.70
27.27,3.81
28.28,3.76
29.29,3.82
30.30,3.72
31.31,3.72
32.32,3.70
33.33,3.76
34.34,3.70
35.35,3.87
36.36,3.92
37.37,4.03
38.38,3.92
39.39,4.03
40.40,4.19
41.41,4.35
42.42,5.05
43.43,4.75
44.44,5.08
45.45,5.49
46.46,8.32
47.47,17.91
48.48,12.92
49.49,3.81
50.51,4.03
51.52,4.71
52.53,5.93
53.54,7.33
54.55,8.66
55.56,11.03
56.57,13.11
57.58,10.33
58.59,9.14
59.60,9.10
60.61,10.48
61.62,10.19
62.63,10.60
63.64,10.83
64.65,10.90
65.66,12.52
66.67,14.36
67.68,14.35
68.69,14.76
69.70,15.14
70.71,16.10
71.72,16.02
72.73,17.01
73.74,18.31
74.75,19.62
75.76,18.59
76.77,19.34
77.78,20.47
78.79,20.34
79.80,21.74
80.81,34.72
81.82,36.92
82.83,35.74
83.84,38.09
84.85,40.40
85.86,35.76
86.87,38.66
87.88,36.92
88.89,35.17
89.90,31.68
90.91,34.02
91.92,33.43
92.93,36.94
93.94,35.16
94.95,36.32
95.96,38.42
96.97,40.08
97.98,35.05
98.99,34.19
100.00,71.10
